"Index","Brand","Name","Slug","LiveStatus","RepoHint","SiteURL"
"001","Creed","Aventus","aventus","CHECK","D:\anti\perfume-luxury-vn\src\constants\mockData.ts","https://www.maisondeson.com/aventus"
"002","Dior","Dior-Homme-Intense-2011","dior-homme-intense-2011","CHECK","","https://www.maisondeson.com/dior-homme-intense-2011"
"003","Hermes","Terre-d-Hermes","terre-d-hermes","CHECK","","https://www.maisondeson.com/terre-d-hermes"
"004","Chanel","Bleu-de-Chanel-Eau-de-Parfum","bleu-de-chanel-eau-de-parfum","CHECK","","https://www.maisondeson.com/bleu-de-chanel-eau-de-parfum"
"005","Yves-Saint-Laurent","La-Nuit-de-l-Homme","la-nuit-de-l-homme","CHECK","","https://www.maisondeson.com/la-nuit-de-l-homme"
"006","Xerjoff","XJ-1861-Naxos","xj-1861-naxos","CHECK","","https://www.maisondeson.com/xj-1861-naxos"
"007","Louis-Vuitton","Imagination","imagination","CHECK","","https://www.maisondeson.com/imagination"
"008","Dior","Dior-Homme-Parfum","dior-homme-parfum","CHECK","","https://www.maisondeson.com/dior-homme-parfum"
"009","Parfums-de-Marly","Layton","layton","CHECK","","https://www.maisondeson.com/layton"
"010","Jean-Paul-Gaultier","Le-Male-Le-Parfum","le-male-le-parfum","CHECK","D:\anti\perfume-luxury-vn\src\constants\mockData.ts","https://www.maisondeson.com/le-male-le-parfum"
"011","Amouage","Reflection-Man","reflection-man","CHECK","","https://www.maisondeson.com/reflection-man"
"012","Giorgio-Armani","Acqua-di-Gio-Profumo","acqua-di-gio-profumo","CHECK","","https://www.maisondeson.com/acqua-di-gio-profumo"
"013","Prada","Prada-L-Homme","prada-l-homme","CHECK","","https://www.maisondeson.com/prada-l-homme"
"014","Dior","Sauvage-Elixir","sauvage-elixir","CHECK","D:\anti\perfume-luxury-vn\src\constants\mockData.ts","https://www.maisondeson.com/sauvage-elixir"
"015","Dior","Fahrenheit","fahrenheit","CHECK","","https://www.maisondeson.com/fahrenheit"
"016","Dolce-Gabbana","The-One-for-Men-Eau-de-Parfum","the-one-for-men-eau-de-parfum","CHECK","","https://www.maisondeson.com/the-one-for-men-eau-de-parfum"
"017","Chanel","Bleu-de-Chanel-Parfum","bleu-de-chanel-parfum","CHECK","","https://www.maisondeson.com/bleu-de-chanel-parfum"
"018","Tom-Ford","Ombre-Leather-2018","ombre-leather-2018","CHECK","","https://www.maisondeson.com/ombre-leather-2018"
"019","Tom-Ford","Oud-Wood","oud-wood","CHECK","","https://www.maisondeson.com/oud-wood"
"020","Guerlain","L-Homme-Ideal-Eau-de-Parfum","l-homme-ideal-eau-de-parfum","CHECK","","https://www.maisondeson.com/l-homme-ideal-eau-de-parfum"
